	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
3052	We used to sell subscription before, however currently we have stopped selling new subscription. However for people who have purchased subscription, our service to you is still unchanged.\n\nThis VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads. Notice:\n\nPayment will be charged to iTunes Account at confirmation of purchase.\nSubscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period\nAccount will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal\nSubscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase\nAny unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.\nPlease visit Account setting to manage the subscription auto renewal.\nPrivacy policy: https://goo.gl/KCWK6w	We used to sell subscription before, however currently we have stopped selling new subscription. However for people who have purchased subscription, our service to you is still unchanged.\n\nThis VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads. Notice:\n\nPayment will be charged to iTunes Account at confirmation of purchase.\nSubscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period\nAccount will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal\nSubscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase\nAny unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.\nPlease visit Account setting to manage the subscription auto renewal.\nPrivacy policy: https://goo.gl/KCWK6w	We used to sell subscription before, however currently we have stopped selling new subscription. However for people who have purchased subscription, our service to you is still unchanged.\n\nThis VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads. Notice:\n\nPayment will be charged to iTunes Account at confirmation of purchase.\nSubscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period\nAccount will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal\nSubscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Settings after purchase\nAny unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.\nPlease visit Account setting to manage the subscription auto renewal.\nPrivacy policy: https://goo.gl/KCWK6w	Nós usado para vender assinatura antes, porém, atualmente temos parou de vender nova assinatura. No entanto, para pessoas que compraram de subscrição, o nosso serviço para você ainda não é alterada. \ N \ n Este VIP Subscription (1 semana, 1 mês ou 1 trimestre) permite desbloquear todas as músicas premium e bloquear todos os anúncios. Aviso: \ n \ nPayment será cobrada a conta iTunes na confirmação da compra \ nSubscription renova automaticamente, a menos auto-renovação é desligado pelo menos 24 horas antes do final do período corrente \ nAccount será cobrado para a renovação dentro de 24. horas antes do final do período atual, e identificar o custo da renovação \ nSubscriptions pode ser gerenciado pelo usuário e auto-renovação pode ser desligado, indo para Configurações da conta do usuário após a compra \ Nany parte não utilizada de um teste gratuito período, se oferecido, será perdido quando o usuário compra uma assinatura para que a publicação, quando aplicável \ nPor favor visita configuração para gerenciar a renovação da assinatura auto Conta \ política nPrivacy:.. https://goo.gl/KCWK6w	Мы привыкли, прежде чем продавать подписку, однако в настоящее время мы перестали продавать новую подписку. Однако для людей, которые приобрели подписку на наш сервис для Вас по-прежнему без изменений. \ П \ nЭта VIP Subscription (1 неделя, 1 месяц, или 1-й квартал) позволяет разблокировать все премиальные песни и блокировать все объявления. Примечание: \ п \ nPayment будет на счет ITunes в подтверждении покупки \ nSubscription автоматически возобновляется, если автоматически обновлять выключен по крайней мере за 24 часа до окончания текущего периода \ nAccount будет взиматься плата за обновление в течение 24-. часов до конца текущего периода, а также определить стоимость обновления \ nSubscriptions может управляться пользователем и автоматического обновления можно отключить, перейдя на счет пользователя настройки после покупки \ Nany неиспользованную часть бесплатного ознакомительного период, если предлагает, будет аннулирован, когда пользователь покупает подписку на эту публикацию, где это применимо \ nПожалуйста, посещение установки для управления подписных автоматического продления счет \ nPrivacy политик:.. https://goo.gl/KCWK6w		Nous vendions abonnement avant, mais actuellement nous avons cessé de vendre un nouvel abonnement. Toutefois, pour les personnes qui ont acheté l'abonnement, notre service vous reste inchangé. \ N \ nLa VIP abonnement (1 semaine, 1 mois ou 1 trimestre) vous permet de déverrouiller toutes les chansons de qualité supérieure et de bloquer toutes les annonces. Avis: \ n \ nPayment sera débité de votre compte iTunes à la confirmation d'achat \ nSubscription renouvelle automatiquement à moins que le renouvellement automatique est éteint au moins 24 heures avant la fin de la période \ nAccount sera chargé de renouvellement au sein 24-. heures avant la fin de la période, et déterminer le coût des nSubscriptions renouvellement de \ peuvent être gérés par l'utilisateur et le renouvellement automatique peut être désactivé en allant dans les paramètres du compte de l'utilisateur après achat \ Nany portion inutilisée d'un essai gratuit période, si elle est offerte, sera annulé lorsque l'utilisateur achète un abonnement à cette publication, le cas échéant \ nVisitez des paramètres de compte pour gérer le renouvellement automatique de l'abonnement \ politique nPrivacy:.. https://goo.gl/KCWK6w	Wir verwenden Abonnement vor verkaufen, aber wir derzeit neues Abonnement verkauft haben gestoppt. Aber für Leute, die Abonnement erworben haben, unseren Service für Sie ist nach wie vor unverändert. \ N \ nDie VIP Abonnement (1 Woche, 1 Monat oder 1 Quartal) ermöglicht es Ihnen, alle Premium Songs freischalten und alle Anzeigen blockiert. Hinweis: \ n \ nKreditkarten wird auf iTunes Konto bei Kaufbestätigung berechnet \ nSubscription verlängert sich automatisch, es sei denn die automatische Erneuerung mindestens 24 Stunden vor dem Ende der laufenden Periode ausgeschaltet \ nKonto wird für die Erneuerung innerhalb 24- berechnet. Stunden vor dem Ende der aktuellen Periode, und die Kosten für die Erneuerung \ nSubscriptions identifizieren kann, indem Sie auf die Benutzerkontoeinstellungen nach dem Kauf \ nAlle ungenutzten Teil eines kostenlosen Test ausgeschaltet durch den Benutzer und die automatische Verlängerung verwaltet werden kann Zeit, wenn angeboten, verfällt, wenn der Benutzer eine Subskription für diese Publikation erwirbt, ggf. \ nBitte Besuch Konto Einstellung das Abonnement automatische Erneuerung verwalten \ nPrivacy Politik:.. https://goo.gl/KCWK6w	Ancak şu anda biz yeni bir abonelik satış durduruldu, daha önce abonelik satardım. Ancak abonelik satın almış kullanıcılar için, size hizmet hala değişmemiş. \ N \ nBu VIP Abonelik (1 hafta, 1 ay veya 1 çeyrek) tüm prim şarkıları kilidini ve tüm reklamları engellemek mümkün kılar. Uyarı: \ n \ nPayment satın alma teyidi de iTunes Hesabı tahsil edilecektir \ otomatik yenileme nAccount de 24 içinde yenileme için tahsil edilecektir \ cari dönemi bitmeden en az 24 saat kapalı sürece nSubscription otomatik olarak yenilenir. cari dönem sonunda öncesinde ve yenilenme \ nSubscriptions maliyetini belirlemek saat kullanıcı ve otomatik yenileme tarafından yönetilen edilebilir bir serbest deneme Nany kullanılmayan kısmı \ satın aldıktan sonra, kullanıcının Hesap Ayarları giderek kapalı olabilir kullanıcı bu yayında, uygulanabilir bir abonelik satın aldığında dönemi sunulan eğer kaybetmektedir olacak abonelik otomatik yenilemeyi yönetmek için ayar \ nE ziyareti Hesabı \ nPrivacy politikası:.. https://goo.gl/KCWK6w			
3053	PURCHASE	PURCHASE	PURCHASE	PURCHASE	PURCHASE	Compra	PURCHASE	KAUF	SATIN ALINDI			
3054	Are you sure to purchase this chart?	Are you sure to purchase this chart?	Are you sure to purchase this chart?	Are you sure to purchase this chart?	Are you sure to purchase this chart?	¿Está seguro de que quieres comprar este gráfico?	Are you sure to purchase this chart?	Sind Sie sicher das sie diesen Chart kaufen möchten? 	Bu chartı satın almak istediğinizden emin misiniz?			
3055	YES & PLAY IT NOW	YES & PLAY IT NOW	YES & PLAY IT NOW	YES & PLAY IT NOW	YES & PLAY IT NOW	Si y jugar ahora	YES & PLAY IT NOW	JA & JETZT SPIELEN	EVET & ŞİMDİ OYNAY			
3056	Contains {0} Rubies	Contains {0} Rubies	Contains {0} Rubies	Contains {0} Rubies	Contains {0} Rubies	Contains {0} Rubies	Contains {0} Rubies	Contains {0} Rubies	Contains {0} Rubies			
3057	Chest of rubies	Chest of rubies	Chest of rubies	Chest of rubies	Chest of rubies	Chest of rubies	Chest of rubies	Chest of rubies	Chest of rubies			
3058	Tons of rubies	Tons of rubies	Tons of rubies	Tons of rubies	Tons of rubies	Tons of rubies	Tons of rubies	Tons of rubies	Tons of rubies			
3059	Christmas Charts	Christmas Charts	Christmas Charts	Christmas Charts	Christmas Charts	Christmas Charts	Christmas Charts	Christmas Charts	Christmas Charts			
												
//Init screen & loading level												
4001	Downloading game configuration	Downloading game configuration	Chờ chút..Đang tải	Baixando configuração do jogo	Идет загрузка конфигурации	Descargando la configuración del juego	Téléchargement des configurations en cours	Lade Spielkonfiguration	Oyun ayarları indiriliyor.			
4002	Cannot connect to the Internet, please try again	Cannot connect to the Internet, please try again	Mất kết nối Internet, hãy thử lại	Não foi possível conectar a internet, por favor tente novamente	Нет подключения к Интернету, попробуйте снова	No se puede conectar a Internet. Inténtalo de nuevo.	Connexion impossible, veuillez réessayer	Keine Verbindung zum Internet, bitte versuchen sie es später	İnternete bağlanılamıyor, lütfen tekrar deneyin			
4003	Downloading song data	Downloading song data	Đang tải bài hát	Baixando a música	Идет загрузка данных о песнях	Descargando los datos de las canciones	Téléchargement des données des chansons en cours	Lade Songdaten	Şarkı dosyaları indiriliyor.			
4004	Downloading latest data	Downloading latest data	Đang cập nhật dữ liệu	Baixando os dados mais recentes	Идет загрузка свежих данных	 Descargando los datos más recientes	Téléchargement des dernières données en cours	Lade neuste Daten	En yeni oyun dosyaları indiriliyor.			
4005	Downloading latest config	Downloading latest config	Đang cập nhật cấu hình 	Baixando as configurações mais recentes	Идет загрузка свежей конфигурации	Descargando la última configuración	Téléchargement de la dernière configuration en cours	Lade neuste Konfiguration	En yeni oyun ayarları indiriliyor.			
4006	Downloading note data	Downloading note data	Đang tải dữ liệu	Baixando dados de nota	Идет загрузка ритма	Descargando los datos de notas	Téléchargement des données des chansons en cours	Lade Notendaten	Nota dosyaları indiriliyor.			
4007	Generating note	Generating note	Đang tạo nốt	Gerando nota	Создаем ритм	Generando nota	Création des notes en cours	Notiz erzeugen	Nota oluşturuluyor.			
4008	Fail to create note	Fail to create note	Tạo nốt thất bại	Falha ao criar a nota	Не удалось создать ритм	 Error al crear nota	Echec lors de la création des notes	Notiz erzeugen fehlgeschlagen	Nota oluştururken hata oluştu.			
4009	Loading theme	Loading theme	Đang tải giao diện	Carregando tema	Идет загрузка темы	Cargando tema	Chargement du thème en cours	Lade Hintergrund	Tema yükleniyor.			
4010	New version is available \nUpdate now to join Christmas tournament - Many new Christmas charts & packs are waiting for you	New version is available \nUpdate now to join Christmas tournament - Many new Christmas charts & packs are waiting for you	Phiên bản mới hiện có sẵn \nCập nhật ngay để tham gia giải đấu Giáng sinh - Nhiều biểu đồ và gói quà Giáng sinh mới đang chờ bạn	Nova versão está disponível \nAtualize agora para se juntar ao torneio de Natal - Muitas cartas e pacotes de Natal novos estão esperando por você	Доступна новая версия \nУдалить сейчас, чтобы присоединиться к рождественскому турниру. Многие новые рождественские чарты и пакеты ждут вас	La nueva versión está disponible \ nActualizar ahora para unir el nuevo modo Deathmatch	La nouvelle version est disponible \nMise à jour maintenant pour participer au tournoi de Noël - De nombreux nouveaux tableaux et packs de Noël vous attendent	Neue Version ist verfügbar \ nUpdate jetzt für den neuen Deathmatch-Modus	Yeni sürüm mevcut \nYeni turnuvaya katılmak için şimdi güncelleyin - Birçok yeni Noel şemaları ve paketleri sizi bekliyor			
4011	Update now	Update now	Cập nhật ngay	Atualize agora	Обновить	Actualizar ahora	Mettre à jour	Jetzt Aktualisieren	Şimdi Güncelle			
4012	There are some problems while loading the song. Pleasy try again	There are some problems while loading the song. Pleasy try again	Có vấn đề gì đó trong khi tải bài hát	Há alguns problemas ao carregar a música. Por favor, tente novamente.	При загрузке песни возникли проблемы. Попробуйте еще раз	Hay algunos problemas al cargar la canción. Inténtalo de nuevo	Un problème est survenu lors du chargement de la chanson, veuillez réessayer	Es gab Probleme beim laden des Songs. Bitte versuche es erneut	Şarkıyı yüklerken hata oluştu. Lütfen tekrar deneyin.			
4013	Logging in...	サイン...	Đăng nhập...	Logando	Вход...	Iniciando sesión...	Connexion en cours…	Anmelden...	Giriş Yapılıyor.			
4014	There are some problems while loading user profile. Pleasy try again	There are some problems while loading user profile. Pleasy try again	There are some problems while loading user profile. Pleasy try again	Há alguns problemas ao carregar perfil do usuário. Por favor, tente novamente.	При загрузке профиля пользователя возникли проблемы. Попробуйте еще раз	Hay algunos problemas al cargar el perfil de usuario. Inténtalo de nuevo	Un problème est survenu lors du chargement du profile utilisateur, veuillez réessayer	Es gab Probleme beim laden deines Profils. Bitte versuche es erneut	Kullanıcı profilini yüklerken hata oluştu. Lütfen tekrar deneyin.			
4015	0.99	0.99	0.99	0.99	0,99	0.99	0.99	0.99	0.99			
4016	1.99	1.99	1.99	1.99	1,99	1.99	1.99	1.99	1.99			
4017	4.99	4.99	4.99	4.99	4,99	4.99	4.99	4.99	4.99			
4018	Watch a short video to earn {0} free Ruby	Watch a short video to earn {0} free Ruby	Watch a short video to earn {0} free Ruby	Assista a um curto vídeo para ganhar {0} Ruby	Посмотрите ролик и получите {0} Рубина	 Ver un breve video para ganar {0} Rubí gratis	Regardez une courte vidéo pour gagner {0} Rubis gratuits	Schau ein kurzes Video und verdiene {0} kostenlose Rubine 	Bedava {0} elmas için kısa bir video izle.			
4019	Get Ruby	Get Ruby	Get Ruby	Obtenta Ruby	Получить Рубин	Obtener Rubí	Obtenir les Rubis	Rubine holen	Elmas al			
4020	Do you want to buy some Ruby?	Do you want to buy some Ruby?	Do you want to buy some Ruby?	Você deseja comprar Ruby?	Хотите купить рубинов?	¿Quieres comprar Rubí?	Voulez-vous acheter des Rubis ?	Möchtest du ein paar Rubine kaufen? 	Elmas satın almak ister misin?			
4021	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0			
4022	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0			
4023	Preparing video	Preparing video	Preparing video	Prepare o vídeo	Подготовьте видео	Preparando vídeo	préparer vidéo	bereiten Video	videoyu hazırlayın			
4024	Failed to prepare video	Failed to prepare video	Failed to prepare video	Falha ao preparar o vídeo	Не удалось подготовить видео	No se pudo preparar el vídeo.	Impossible de préparer la vidéo	Fehlgeschlagen Video vorbereiten	video hazırlamak Başarısız			
4025	2.99	2.99	2.99	2.99	2.99	2.99	2.99	2.1	2.101			
4026	Feature	Feature	Feature	Feature	Feature	Feature	Feature	Feature	Feature			
4027	Free Christmas Chart	Free Christmas Chart	Free Christmas Chart	Free Christmas Chart	Free Christmas Chart	Free Christmas Chart	Free Christmas Chart	Free Christmas Chart	Free Christmas Chart			
//Simple words												
5001	Yes	はい	Được	Sim	Да	 Sí	Oui	Ja	Evet			
5002	No	いいえ	Không	Não	Нет	No	Non	Nein	Hayır			
5003	Back	Back	Quay lại	Voltar	Назад	Atras	Retour	Zurück	Geri			
5004	Continue	Continue	Tiếp tục	Continuar	Продолжить	Continuar	Continuer	Fortfahren	Devam et			
5005	Cancel	Cancel	Hủy	Cancelar	Отмена	Cancelar	Annuler	Abbrechen	İptal et.			
5006	Duration	Duration	Thời lượng	Duração	Длительность	Duración	Durée	Dauer	Süresi			
5007	Feedback	Feedback	Phản hồi	Comentários	Обратная связь	Comentários	Feedback	Feedback	Düşünceleriniz			
5008	Invite	Invite	Mời	Convidar	Пригласить	Invitar	Inviter	Einladen	Davet Et			
